 Catalogue of Wide-Field Plate Archives (version 5.7 January 2012)																															
WFPDB Instrument Identifier		Original Name of the Instrument	Location of the Archive		Observatory			Marsden's No.	Time Zone	East Longitude	Latitude	Altitude	Clear Aperture		Mirror Diameter	Focal Length	Scale	Type	Field Size	Years of Operation		P/F	Number of Direct Plates		Orig.Plate Number from.. to..	Arch. Type	Number of Sp. Plates	Arch.  Type	Quality	Astronomer in Charge	
			Site	Country	Name	Site	Country		h	o     '  	o     '  	m	m		m	m	"""/mm"		o	from	to		  								
1			2	3	4	5	6	7	8	9	10	11	12		13	14	15	16	17	18	19	20	21		22	23	24	25	26	27	
LEI040B			Leiden	Netherlands	Leiden South.St.	Hartebeesportdam	South Africa	081	2	27 52.6	–25 46.4	1220		0.40		2.29	90	Rfr	7.5	1957	1978		925	:		T			A	I.van Houten	
LEO150			Vienna	Austria	Vienna Univ. Obs.	Leopold–Figl	Austria	562	1	15 55.4	48 05.0	890			1.50	8.30	17	RCr	1.0	1972			700			T			B	A.Schnell	
LIC013			Mt. Wilson	USA CA	Lick	Mt. Hamilton	USA CA	662	–8	–121 38.2	37 20.6	1290		0.13		0.89	233	Cam	18.8	1953	1955		200			T				E.Gates	
LIC051		Carnegie Double Astrograph	Mt. Hamilton	USA CA	Lick	Mt. Hamilton	USA CA	662	–8	–121 38.2	37 20.6	1290	2x	0.51		3.75	55	Ast	6.0	1939	1989		11000			TC				E.Gates	
LMC025		"10"" Astrograph"	Charlottesville	USA VA	Leander McCormick	Charlottesville	USA VA	780	–5	–78 31.4	38 02.0	264		0.25		1.15	180	Ast	12.5	1935	1950					T	4000			R.Patterson	
LMC067		"26"" Clark Refractor"	Charlottesville	USA VA	Leander McCormick	Charlottesville	USA VA	780	–5	–78 31.4	38 02.0	264		0.67		9.82	22	Rfr	1.0	1914	1990		145000			C				R.Patterson	
LOI152		152 cm G.D.Cassini Telescope	Bologna	Italy	Loiano	Loiano	Italy	598	1	11 20.2	44 15.5	785			1.52			Rfl	1.2	1976			15000								
LOW012A		Brashear Photographic Doublet (B5)	Flagstaff	USA AZ	Lowell	Flagstaff	USA AZ	690	–7	–111 39.9	35 12.2	2219		0.12		0.89	230	Cam	6.4	1905	1907		100			T				B.Skiff	
LOW012A		Brashear Photographic Doublet (B5)	Flagstaff	USA AZ	Lowell	Flagstaff	USA AZ	690	–7	–111 39.9	35 12.2	2219		0.12		0.89	230	Cam	6.4	1911	1916		1100							B.Skiff	
LOW012B		Voightlander Camera (V)	Flagstaff	USA AZ	Lowell	Flagstaff	USA AZ	690	–7	–111 39.9	35 12.2	2219		0.12		0.80	257	Cam	7.0	1905	1907		100							B.Skiff	
LOW015		Roettger Camera	Flagstaff	USA AZ	Lowell	Flagstaff	USA AZ	690	–7	–111 39.9	35 12.2	2219		0.15		0.67	260	Cam	8.0	1905	1907		100							B.Skiff	
LOW020		Schmidt	Flagstaff	USA AZ	Lowell	Flagstaff	USA AZ	690	–7	–111 39.9	35 12.2	2219		0.20	0.30	0.20	1031	Sch	2.1	1932		F	500							B.Skiff	
LOW022		"Swarthmore Brashear 9"" Camera (B9)"	Flagstaff	USA AZ	Lowell	Flagstaff	USA AZ	690	–7	–111 39.9	35 12.2	2219		0.22		1.10	170	Cam	4.7	1914	1916		600							B.Skiff	
LOW033		Clark Triplet Astrograph	Flagstaff	USA AZ	Lowell	Flagstaff	USA AZ	690	–7	–111 39.9	35 12.2	2219		0.33		1.65	122	Ast	5.7	1929	1989		10000			TC				B.Skiff	
LOW045		Brashear Photographic Refractor	Flagstaff	USA AZ	Lowell	Flagstaff	USA AZ	690	–7	–111 39.9	35 12.2	2219		0.45		3.60	57	Rfr	1.6	1894			250			TC				B.Skiff	
LOW061		"24"" Clark Refractor "	Flagstaff	USA AZ	Lowell	Flagstaff	USA AZ	690	–7	–111 39.9	35 12.2	2219		0.61				Rfr		1959	1965		1900							B.Skiff	
LOW100		Clark Reflector	Flagstaff	USA AZ	Lowell	Flagstaff	USA AZ	690	-7	–111 39.9	35 12.2	2219			1.00	5.58	37	Rfl	1.0	1909	1951		10000			TC				B.Skiff	
MAD040			Madrid	Spain	Madrid	Madrid	Spain	990	1	–03 41.1	40 24.6	670		0.40		2.00	103	Ast	8.6	1976			2000			T				J.Lahulla	
MEL033		CdC Astrograph	Melbourne	Australia	Melbourne Obs.		Australia	907	10			907		0.33		3.43	60	Ast		1892	1927		1149							A. Vaughan	
MER100			Merida	Venezuela	Llano del Hato	Merida	Venezuela	303	–4	–70 52.0	08 47.4	3610		1.00	1.52	3.00	68	Sch	5.7	1976			1184			T				N.Calvet	
MEU040			Caussols	France	Meudon	Meudon	France	005	1	02 13.9	48 48.3	162		0.40	0.60	1.00	206	Sch	10.0	1961	1975	F	3293			T				Ch.Pollas	
MIC061		"24"" Refractor"	East Lansing	USA MI	Michigan State Uni. Obs.	East Lansing	USA MI	766	-5	–84 28.9	42 42.4	264		0.61		1.83	113	Rfr	5.0	1970	1980		1300			T				H.Smith	
MIN025		"10"" Refractor"	Minneapolis	USA MN	University of  MN	Minneapolis	USA MN	743	-6	-86 45.7	44 58.6			0.25		3.43		Rfr		1896	1946		413			C				R.Humphreys	
MMO019	***	"7.5""Cooke/Clark Refractor"	Nantucket	USA MA	Maria Mitchell	Nantucket	USA MA	811	–5	–70 06.3	41 16.8	20		0.19		0.86	240	Rfr	16.6	1913	1995		7500			C			A	V.Strelnitski	
MPI080	**	MPIA Schmidt 	Hamburg	Germany	MPI–Calar Alto	Calar Alto	Spain	493	1	02 32.2	37 13.8	2168		0.80	1.20	2.40	86	Sch	5.5	1980			534			C	1343	C	A	H.-J.Hagen	
MPI080		MPIA Schmidt 	Heidelberg	Germany	MPI–Calar Alto	Calar Alto	Spain	493	1	02 32.2	37 13.8	2168		0.80	1.20	2.40	86	Sch	5.5	1983	2000		600			T				K.Birkle	
MWH013			Mt. Wilson	USA CA	Mt. Wilson–Hale	Mt. Wilson	USA CA	672	–8	–118 03.6	34 13.0	1742		0.13		0.89	233	Cam	18.8	1942						T				A.Klemola	
MWH025			Austin	USA TX	Boyden St.	Bloemfontein	South Africa	074	2	26 24.3	–29 02.3	1387	 	0.25	 	  	176	Cam	15.0	 	 						400	T	 	K.Henize †	
MWH025			Mt. Wilson	USA CA	Mt. Wilson–Hale	Mt. Wilson	USA CA	672	–8	–118 03.6	34 13.0	1742		0.25				Cam	15.0	1952			200			T				K.Henize †	
MYK012	*		Mykolayiv	Ukraine	Mykolayiv Obs.	Mykolayiv	Ukraine	089	3	32 07.5	46 58.3	55		0.12		2.04	101	Ast	5.0	1961	1999		8500			T			B	G.Pinigin	
NAV030		"12"" Refractor"	"Washigton, DC"	USA DC	US Naval Obs. 	"Washigton, DC"	USA DC	786	-5	–77 04.0	38 55.3			0.30		4.50	46	Rfr	2.0	1920	1930		2000							B.Mason	
NAV066		"26"" Refractor"	"Washigton, DC"	USA DC	US Naval Obs.  	"Washington, DC"	USA DC	786	-5	–77 04.0	38 55.3			0.66			120	Rfr		1958	1982		8600							B.Mason	
NAV100		"40"" Telescope"	Flagstaff	USA AZ	US Naval Obs. Flagstaff St.	Flagstaff	USA AZ	690	-7	–111 39.9	35  12.2	2219			1.00	7.00	29	RCr					3000							B.Skiff	
NAV100		"40"" Telescope"	San Diego	USA CA	US Naval Obs. Flagstaff St.	Flagstaff	USA AZ	690	-7	–111 39.9	35  12.2	2219			1.00	7.00	29	RCr		1955			100							P.Etzel	
NAV100		"40"" Telescope"	"Washigton, DC"	USA DC	US Naval Obs. 	"Washigton, DC"	USA DC	786	-5	–77 04.0	38 55.3				1.00	7.00	29	RCr		1934	1955		400							B.Mason	
NAV100		"40"" Telescope"	"Washigton, DC"	USA DC	US Naval Obs. Flagstaff St.	Flagstaff	USA AZ	690	-7	–111 39.9	35 12.2	2219	 		1.00	7.00	29	RCr		1955	1965		1000							C.Dahn	
NAV155		"61"" Astrometric Reflector"	San Diego	USA CA	US Naval Obs. Flagstaff St.	Flagstaff	USA AZ	690	-7	–111 39.9	35 12.2	2219			1.55	15.20	14	Rfl	1.1	1964			100							P.Etzel	
NAV155		"61"" Astrometric Reflector"	"Washigton, DC"	USA DC	US Naval Obs. Flagstaff St.	Flagstaff	USA AZ	690	-7	–111 39.9	35 12.2	2219			1.55	15.20	14	Rfl	1.1				1650							C.Dahn	
NAV155		"61"" Astrometric Reflector"	"Washigton, DC"	USA DC	US Naval Obs. Flagstaff St.	Flagstaff	USA AZ	690	-7	–111 39.9	35 12.2	2219			1.55	15.20	14	Rfl	1.1	1976	1996		50000							B.Mason	
NIC040			Caussols	France	Nice–Cote d'Azur	Caussols	France	020	1	07 18.1	43 43.4	372	2x	0.40		2.00	103	Ast	8.0	1933										Ch.Pollas	
NIZ020		CdC Astrograph	Hyderabad	India	Nizamiah Obs.	Hyderabad 	India	218	6	78 27.0	17 25.9	554		0.20		3.38	61	Ast		1914	1928		1260								
NLO			Sidmouth	UK England	Norman Lockyer Obs.	Sidmouth	UK England		0											1912	1960						6000	C		P.Goulev	
NLO033			Sidmouth	UK England	Norman Lockyer Obs.	Sidmouth	UK England		0					0.33		3.43	60	Ast	2.6	1912	1960		2000	:		T				P.Goulev	
ODE006A		Xenon  	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.06		0.12	 	Ast	30.0	1945	1957		2000	:		T				S.Kashuba	
ODE006B		Ernostar 	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.06		0.12		Ast	30.0	1945	1957		2000	:		T				S.Kashuba	
ODE007		3 Camera Astrograph Industar-163	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.07		0.30	 	Ast	30.0	1945	1957		2000	:		T				S.Kashuba	
ODE010A		2 Camera Astrograph Industar-17	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.10		0.50	 	Ast	22.0	1945	1957		2000	:		T				S.Kashuba	
ODE010B		3 Camera Astrograph Triplet	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.10		0.50	 	Ast	22.0	1945	1957		2000	:		T				S.Kashuba	
ODE010C	*	7 Camera Astrograph	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.10		0.25	288	Cam	35.0	1957	1990		7100	:		T				S.Kashuba	
ODE010D	*	7 Camera Astrograph	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.10		0.25	288	Cam	34.0	1957	1990		7100	:		T				S.Kashuba	
ODE010E	*	7 Camera Astrograph	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.10		0.25	288	Cam	25.0	1957	1990		7100	:		T				S.Kashuba	
ODE010F	*	7 Camera Astrograph	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.10		0.25	288	Cam	12.0	1957	1990		7100	:		T				S.Kashuba	
ODE010G	*	7 Camera Astrograph	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.10		0.25	288	Cam	12.0	1957	1990		7100	:		T				S.Kashuba	
ODE010H	*	7 Camera Astrograph	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.10		0.25	288	Cam	22.0	1957	1990		7100	:		T				S.Kashuba	
ODE010I		7 Camera Astrograph	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.10		0.25	288	Cam	18.0	1957	1990		7100	:		T				S.Kashuba	
ODE015		Comet Astrograph	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.15		1.00	204	Ast	12.0	1945	1957		2000	:		T				S.Kashuba	
ODE020		Schmidt Telescope	Odessa	Ukraine	Odessa	Odessa	Ukraine	086	3	30 45.5	46 28.6	60		0.20	0.40	 	474	Sch	6.0	1969	1980		2000	:		T				S.Kashuba	
OHP			Brussels	Belgium	Obs. de Haute–Provence	Saint Michel	France	511	1	05 42.8	43 55.9	655						Sch		1985	1998		300							T.Pauwels	
OHP030			Saint Michel	France	Obs. de Haute–Provence	Saint Michel	France	511	1	05 42.8	43 55.9	655		0.30	0.41	0.60	347	Sch	7.7			F	5442			T				S.Ilovaisky	
OHP040		GPO	Saint Michel	France	Obs. de Haute–Provence	Saint Michel	France	511	1	05 42.8	43 55.9	655		0.40		4.00	51	Ast	2.2	1957						T				S.Ilovaisky	
OHP040		 GPO	Saint Michel	France	Zeekoegat	Zeekoegat	South Africa							0.40		4.00	51	Ast	2.2	1961	 					T				S.Ilovaisky	
OHP062		Schmidt Telescope	Saint Michel	France	Obs. de Haute–Provence	Saint Michel	France	511	1	05 42.8	43 55.9	655		0.62	0.90	2.08	99	Sch	4.1	1970	1997		7054			T				S.Ilovaisky	
OND001A			Ondrejov	Czech Republic	Ondrejov	Ondrejov	Czech Rep.	557	1	14 47.0	49 54.6	530		0.01		0.03	6876	FEC	180.0	1975			3649			T			A	J.Borovicka	
OND001B			Ondrejov	Czech Republic	Ondrejov	Ondrejov	Czech Rep.	557	1	14 47.0	49 54.6	530		0.01		0.03	6876	FEC	180.0	1976			2415			T			A	J.Borovicka	
OND004A	**		Ondrejov	Czech Republic	Ondrejov	Ondrejov	Czech Rep.	557	1	14 47.0	49 54.6	530	10x	0.04		0.18	1146	Cam	36.0	1955	1977		10060			TC			A	J.Borovicka	
OND004B	**		Ondrejov	Czech Republic	Ondrejov	Ondrejov	Czech Rep.	557	1	14 47.0	49 54.6	530	13x	0.04		0.18	1146	Cam	36.0	1958	1975		16060			C			A	J.Borovicka	
OND008			Ondrejov	Czech Republic	Ondrejov	Ondrejov	Czech Rep.	557	1	14 47.0	49 54.6	530		0.08		0.36	573	Cam	38.2	1960							13400	T	A	J.Borovicka	
OXF033		CdC Astrograph	Oxford	UK England	Oxford Obs.	Oxford	UK England	996	0	358 45.0	51 45.6	64		0.33		3.43	60	Ast	2.0												
PAL046		"18"" Schmidt"	Palomar	USA CA	Palomar	Mt. Palomar	USA CA	675	–8	–116 51.8	33 21.4	1706		0.46	0.66	0.91	227	Sch	10.0	1936	1978	F	4300	:		C				J.Mueller	
PAL122	***	Palomar Schmidt	Baltimore	USA MD	Palomar	Mt. Palomar	USA CA	675	–8	–116 51.8	33 21.4	1706		1.22	1.83	3.07	67	Sch	6.7	1982	1985		620			C				B.McLean	
PAL122		Palomar Schmidt	Basel	Switzerland	Palomar	Mt. Palomar	USA CA	675	–8	–116 51.8	33 21.4	1706		1.22	1.83	3.07	67	Sch	6.7	1947			1000			T				R.Fenkart	
PAL122	**	Palomar Schmidt	Cracow	Poland	Palomar	Mt. Palomar	USA CA	675	–8	–116 51.8	33 21.4	1706		1.22	1.83	3.07	67	Sch	6.7				121			C			B	J.Machalski	
PAL122	*	Palomar Schmidt	Heidelberg	Germany	Palomar 	Mt. Palomar	USA CA	675	–8	–116 51.8	33 21.4	1706		1.22	1.83	3.07	67	Sch	6.7	1960	1977		500	:		T			A	L. Schmadel	
PAL122		Palomar Schmidt	Leiden	Netherlands	Palomar 	Mt. Palomar	USA CA	675	–8	–116 51.8	33 21.4	1706		1.22	1.83	3.07	67	Sch	6.7	1960	1977		500	:		T			A	I.van Houten	
PAL122		Palomar Schmidt	Palomar	USA CA	Palomar	Mt. Palomar	USA CA	675	–8	–116 51.8	33 21.4	1706		1.22	1.83	3.07	67	Sch	6.7	1947	1978		17300	:		C				J.Mueller	
PAL122	***	Palomar Schmidt	Pasadena	USA CA	Palomar	Mt. Palomar	USA CA	675	–8	–116 51.8	33 21.4	1706		1.22	1.83	3.07	67	Sch	6.7	1947	2002		30000	:		TC			B	G.Carlson	
PAR033		CdC Astrograph	Paris	France	Paris Obs.	Paris	France	007	1	00 02.3	48 50.2	67		0.33		3.43	60	Ast	2.0	1891	1927		1261								
PAZ030		Zeiss Triplet 	Sonneberg	Germany	La Paz St.	La Paz	Bolivia		–4	–66 07.5	–16 30.6			0.30		1.50	138	Cam	11.5	1926	1929		915			T			A	P.Kroll	
PER033		CdC Astrograph	Perth	Australia	Perth Obs.	Perth	Australia	323	8	115 51.0	–31 57.1	60		0.33		3.43	60	Ast	2.0	1900	1919		1376								
POT013A			Potsdam	Germany	AIP Telegrafenberg	Potsdam	Germany	042	1	13 04.0	52 22.9	107		0.13		2.10	98	Rfr		1879	1908			:						R.v.Berlepsch	
POT013B	***	Heliographic Objective	Potsdam	Germany	AIP Telegrafenberg	Potsdam	Germany	042	1	13 04.0	52 22.9	107		0.13		1.36	152	Rfr	5.0	1888	1889		15							R.v.Berlepsch	
POT015			Potsdam	Germany	AIP Telegrafenberg	Potsdam	Germany	042	1	13 04.0	52 22.9	107		0.15		1.50	137	Cam	7.6	1908	1948		3000	:						R.v.Berlepsch	
POT020			Potsdam	Germany	AIP Telegrafenberg	Potsdam	Germany	042	1	13 04.0	52 22.9	107		0.20		3.40	61	Rfr	1.5	1879	1908					T			A	R.v.Berlepsch	
POT025	***	25/30 cm Schmidt	Potsdam	Germany	AIP Telegrafenberg	Potsdam	Germany	042	1	13 04.0	52 22.9	107		0.25	0.30	0.75	275	Sch	6.8	1949	1967	PF	405			C			B	R.v.Berlepsch	
POT030A	***	Refractor	Potsdam	Germany	AIP Telegrafenberg	Potsdam	Germany	042	1	13 04.0	52 22.9	107		0.30		5.40	38	Rfr	1.2	1879	1930		52			C				R.v.Berlepsch	
POT030B	***	Refractor	Potsdam	Germany	AIP Telegrafenberg	Potsdam	Germany	042	1	13 04.0	52 22.9	107			0.30	0.90	229	Rfl	 	1906	1930		1500			 				R.v.Berlepsch	
POT032	***		Potsdam	Germany	AIP Telegrafenberg	Potsdam	Germany	042	1	13 04.0	52 22.9	107		0.32		3.43	60	Rfr	2.7	1889	1928		1500	:					B	R.v.Berlepsch	
POT040A		Steinheil Objective (TA)	Sonneberg	Germany	Potsdam–Babelsberg	Potsdam	Germany	536	1	13 06.4	52 24.4	82		0.40		5.50	38	Rfr	1.7	1917	1938		1436			T			A	P.Kroll	
POT040B			Potsdam	Germany	AIP Telegrafenberg	Potsdam	Germany	042	1	13 04.0	52 22.9	107			0.40	0.90	229	Rfl		1932	1948									R.v.Berlepsch	
POT050	***	50/70 cm Schmidt	Potsdam	Germany	AIP Telegrafenberg	Potsdam	Germany	042	1	13 04.0	52 22.9	107		0.50	0.70	1.72	122	Sch	4.5	1952	1970		507			C				R.v.Berlepsch	
POZ012			Poznan	Poland	Poznan	Poznan	Poland	047	1	16 52.7	52 23.8	85		0.12		0.53	389	Cam	13.0	1946	1970		797			T				K.Kurzynska	
POZ020			Poznan	Poland	Poznan	Poznan	Poland	047	1	16 52.7	52 23.8	85		0.20		3.00	69	Rfr	3.5	1947			934			T				K.Kurzynska	
POZ030			Poznan	Poland	Poznan	Poznan	Poland	047	1	16 52.7	52 23.8	85		0.30		1.50	138	Ast	6.9	1947			1200			T				K.Kurzynska	
PRA100		"40"" Reflector"	Urbana-Champaign	USA IL	Prairie Obs.	Urbana-Champaign	USA IL		-6						1.00	7.60	27	Rfl	1.2	1969	1980		500							E.Olson	
PUL010			Pulkovo	Russia	Pulkovo	Pulkovo	Russia	084	3	30 19.6	59 56.3	75	2x	0.10		0.71	300	Ast	15.0	1953			3000			TC			B	N.Bronnikova	
PUL012			Mykolayiv	Ukraine	Pulkovo Obs.	Pulkovo	Russia	 084	3	30 19.6	59 56.3	75		0.12		2.04	101	Ast	5.0	1929	1931		 			T			B	G.Pinigin	
PUL034			Pulkovo	Russia	Pulkovo	Pulkovo	Russia	084	3	30 19.6	59 56.3	75		0.34		3.46	60	Ast	2.0	1893			17000			TC			B	N.Bronnikova	
PUL065			Pulkovo	Russia	Pulkovo	Pulkovo	Russia	084	3	30 19.6	59 56.3	75		0.65		10.00	20	Rfr	0.9	1960			18600			TC			B	N.Bronnikova	
QUI021A		AFU-75	Kyiv	Ukraine	Quito Astron. Obs.	Quito	Ecuador	781	-4	–78 29.3	–00 12.6	2860		0.21		0.74	281	Cam	15.6	1986	1986		100			T				V.Golovnya	
QUI021B		AFU-75	Kyiv	Ukraine	Quito Comet Station	Quito	Ecuador	782	-4	–78 21.0	00 00.0	2270		0.21		0.74	281	Cam	15.6	1986	1986		50			T				V.Golovnya	
RGO015			Cambridge	UK England	Royal Greenwich Obs.	Greenwich	UK England	000	0	00 00.0	51 28.6	49		0.15		5.57	327	Cam	27.2	1905	1912		100	:						R.Argyle	
RGO025			Cambridge	UK England	Royal Greenwich Obs.	Greenwich	UK England	000	0	00 00.0	51 28.6	49		0.25		1.15	180	Cam	15.0	1905	1912		206			T				R.Argyle	
RGO033			Cambridge	UK England	Royal Greenwich Obs.	Greenwich	UK England	000	0	00 00.0	51 28.6	49	2x	0.33		3.43	60	Ast	2.7	1891	1956		20000			TC				R.Argyle	
RGO033			Cambridge	UK England	Royal Greenwich Obs.	Herstmonceux	UK England	501	0	00 20.8	50 52.1	50	2x	0.33		3.43	60	Ast	2.7	1957	1988		 			TC				R.Argyle	
RGO066			Cambridge	UK England	Royal Greenwich Obs.	Greenwich	UK England	000	0	00 00.0	51 28.6	49	2x	0.66		6.86	30	Ast	1.3	1897	1956					TC				R.Argyle	
RGO066			Cambridge	UK England	Royal Greenwich Obs.	Herstmonceux	UK England	501	0	00 20.8	50 52.1	50	2x	0.66		6.86	30	Ast	1.3	1957	1988					TC				R.Argyle	
RGO100			Cambridge	UK England	Royal Greenwich Obs.	La Palma	Spain	950	–1	–17 52.9	28 45.6	2326			1.00	8.06	26	Rfl	1.5	1984			1002			TC				R.Argyle	
BAL080		Baldone Schmidt 	Riga	Latvia	Baldone Astroph. Obs.	Baldone	Latvia		3	24 24.0	56 47.0	75		0.80	1.20	2.40	86	Sch	4.5	1967	1998		22000			C	2300	C		A.Alksnis	
BAL080R		Baldone Schmidt 	Riga	Latvia	Baldone Astroph. Obs.	Baldone	Latvia		3	24 24.0	56 47.0	75		0.80	1.20	2.40	86	Sch	4.5	1967	1998		22000			C	2300	C		A.Alksnis	
ROB030		Triplet Zeiss	Brussels	Belgium	Royal Obs.Belgium	Uccle	Belgium	012	1	04 21.5	50 47.9	105		0.30		1.50	138	Ast	9.0	1924	1967		2300			C				T.Pauwels	
ROB033		CdC Astrograph	Brussels	Belgium	Royal Obs.Belgium	Uccle	Belgium	012	1	04 21.5	50 47.9	105		0.33		3.43	60	Ast	2.6	1908	1950		1160			T				T.Pauwels	
ROB040		Double Astrograph	Brussels	Belgium	Royal Obs.Belgium	Uccle	Belgium	012	1	04 21.5	50 47.9	105	2x	0.40		2.00	103	Ast	8.6	1933	1994		7000	:		TC				T.Pauwels	
ROE040	**		Edinburgh	UK Scotland	Royal Obs.	Edinburgh	UK Scotland	961	0	–03 11.0	55 55.4	146		0.40	0.60	1.53	135	Sch	4.0	1962	1974		1497			C			A	S.Tritton	
ROE040P	***		Edinburgh	UK Scotland	Royal Obs.	Edinburgh	UK Scotland	961	0	–03 11.0	55 55.4	146		0.40	0.60	1.53	135	Sch	4.0	1962	1974						827	C	A	S.Tritton	
ROE091			Edinburgh	UK Scotland	Royal Obs.	Edinburgh	UK Scotland	961	0	–03 11.0	55 55.4	146			0.91	16.50	13	Rfl		1938	1963						1500	T	A	S.Tritton	
ROM060			Campo Imperatore	Italy	Rome	Campo Imperatore	Italy	599	1	13 33.6	42 26.6	2200		0.60	0.90	1.83	113	Sch	6.0	1961	1970		960			T	770	T	B	G.Baratta	
ROM060	***		Edinburgh	UK Scotland	Rome	Campo Imperatore	Italy	599	1	13 33.6	42 26.6	2200		0.60	0.90	1.83	113	Sch	6.0	1967			1507			C	43	C	A	S.Tritton	
ROS076		"30"" Reflector"	Gainesville	USA FL	Rosemary Hill Obs.	Gainesville	USA FL	831	-5	–82 35.2	29 24.0	44			0.76	3.04	68	Rfl	3.0	1968	1990		9400							F.Reyes	
ROZ050		50/70 cm Schmidt	Brussels	Belgium	Rozhen 	Rozhen 	Bulgaria	071	2	24 45.0	41 43.0	1760		0.50	0.70	1.72	120	Sch	4.5	1985	1994		300							T.Pauwels	
ROZ050	***	50/70 cm Schmidt	Sofia	Bulgaria	Rozhen	Rozhen	Bulgaria	071	2	24 45.0	41 43.0	1760		0.50	0.70	1.72	120	Sch	4.5	1979	1994		7145			C	214	C	D	M.Tsvetkov	
ROZ200	***	2m RCC	Rozhen	Bulgaria	Rozhen	Rozhen	Bulgaria	071	2	24 45.0	41 43.0	1760			2.00	16.00	13	RCr	1.0	1979	1993		2007			C			D	N.Petrov	
SFO033		CdC Astrograph	San Fernando	Spain	Real Inst. y Obs. Armada	San Fernando	Spain	983	1	353 48.0	36 27.7	30		0.33		3.43	60	Ast	2.0	1891	1917		2520								
SHA040	**		Shanghai	China 	Shanghai	Zo-Se	China 	337	6	121 11.2	31 05.8	100	2x	0.40		6.90	30	Ast	2.5	1901			3419			C				Zh.Tang	
SID124	***	UKSTU 	Edinburgh	UK Scotland	Siding Spring	Coonabarabran	Australia	413	–10	149 04.2	–31 16.4	1145		1.24	1.83	3.07	67	Sch	6.4	1973			16866			C	1748	C	A	S.Tritton	
SJO050			San Juan	Argentina	Felix Aguilar	San Juan	Argentina		–3	–68 37.2	–31 30.6	700		0.50		3.41	55	Ast	6.0				6000	:		T				C.Lopez	
SKA030			Skalnate Pleso	Slovakia	Skalnate Pleso	Skalnate Pleso	Slovakia	056	1	20 14.7	49 11.3	1783		0.30		1.50	138	Ast	8.5	1965			7000			T			B	J.Svoren	
SKA060			Skalnate Pleso	Slovakia	Skalnate Pleso	Skalnate Pleso	Slovakia	056	1	20 14.7	49 11.3	1783			0.60	3.30	63	Rfl	2.0	1946	1964		4000	:					B	J.Svoren	
SON000A	***	Zeiss Tessar (Tel)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640				0.18	1150	Cam	38.3	1950	1950		48			C			A	P.Kroll	
SON000B	***	Zeiss Tessar (Trs)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640				0.18	1180	Cam	39.3	1950	1951		204			C			A	P.Kroll	
SON004		"Zeiss Tessar (d, delta,theta)"	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.04		0.18	1150	Cam	38.3	1950	1958		1424			T			A	P.Kroll	
SON005	***	Zeiss Tessar	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.05		0.17	1250	Cam	41.7	1950	1956		2572			C			A	P.Kroll	
SON006A	***	"Zeiss Triostar (L, Tr)"	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.21	980	Cam	32.7	1941	1953		3558			C			A	P.Kroll	
SON006B	***	Zeiss Tessar (Te1)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.21	980	Cam	32.7	1953	1962		3194			C			A	P.Kroll	
SON006C	***	Zeiss Tessar (Te5)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.21	980	Cam	32.7	1956	1962		2781			C			A	P.Kroll	
SON006D	***	Zeiss Tessar (Te2)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.25	830	Cam	30.0	1956			12439			C			A	P.Kroll	
SON006E	***	Zeiss Tessar (Te3)	Sonneberg	Germany	Sonneberg	Sonneberg	Germany	031	1	11 11.5	50 22.7	640		0.06		0.25	830	Cam	30.0	1956			12535			C			A	P.Kroll	
